03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.25
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.25
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.26
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.26
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.27
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.27
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.28
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.28
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.29
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.29
03/16-09:33:21.740000  [**] [1:408:5] ICMP Echo Reply [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.21.25 -> 192.168.202.108
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.32
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.32
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.33
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.33
